年月日,日報酬率 %
2020/12/15,-1.003
2020/12/14,-0.3551
2020/12/11,0.0856
2020/12/10,-0.9774
2020/12/09,0.2071
2020/12/08,0.7281
2020/12/07,0.8785
2020/12/04,1.1115
2020/12/03,-0.0861
2020/12/02,0.7452
2020/12/01,1.1862
2020/11/30,-1.0399
2020/11/27,0.1548
2020/11/26,0.7776
2020/11/25,-0.4947
2020/11/24,-0.5107
2020/11/23,1.1779
2020/11/20,-0.0437
2020/11/19,-0.3693
2020/11/18,1.3263
2020/11/17,0.3039
2020/11/16,2.0982
2020/11/13,0.3899
2020/11/12,-0.3047
2020/11/11,1.3796
2020/11/10,-0.3485
2020/11/09,1.1866
2020/11/06,0.4236
2020/11/05,0.3956
2020/11/04,1.0356
2020/11/03,1.1492
2020/11/02,0.3584
2020/10/30,-0.9206
2020/10/29,-1.0227
2020/10/28,-0.6311
2020/10/27,-0.2635
2020/10/26,0.0792
2020/10/23,-0.141
2020/10/22,0.3089
2020/10/21,0.1157
2020/10/20,-0.3561
2020/10/19,1.2389
2020/10/16,-0.6038
2020/10/15,-0.7082
2020/10/14,-0.2149
2020/10/13,-0.0678
2020/10/12,0.5332
2020/10/08,1.1048
2020/10/07,0.3317
2020/10/06,1.2428
2020/10/05,0.261
2020/09/30,0.384
2020/09/29,0.0399
2020/09/28,1.8789
2020/09/25,-0.2566
2020/09/24,-2.539
2020/09/23,-0.4874
2020/09/22,-1.1693
2020/09/21,-0.6252
2020/09/18,0.0224
2020/09/17,-0.8016
2020/09/16,1.0207
2020/09/15,0.4522
2020/09/14,0.8825
2020/09/11,-0.1245
2020/09/10,0.6596
2020/09/09,-0.4342
2020/09/08,0.4933
2020/09/07,-0.2892
2020/09/04,-0.9407
2020/09/03,0.4604
2020/09/02,-0.0298
2020/09/01,0.8881
2020/08/31,-1.0794
2020/08/28,-0.535
2020/08/27,-0.2804
2020/08/26,0.5882
2020/08/25,0.8786
2020/08/24,0.3116
2020/08/21,1.9834
2020/08/20,-3.2554
2020/08/19,-0.7264
2020/08/18,-0.6481
2020/08/17,1.2555
2020/08/14,0.2533
2020/08/13,0.7323
2020/08/12,-0.8595
2020/08/11,-0.8827
2020/08/10,0.5077
2020/08/07,-0.6554
2020/08/06,0.8686
2020/08/05,0.7268
2020/08/04,1.5735
2020/08/03,-1.1984
2020/07/31,-0.4568
2020/07/30,1.4508
2020/07/29,-0.3636
2020/07/28,-0.0125
2020/07/27,2.3103
2020/07/24,-0.8781
2020/07/23,-0.4829
2020/07/22,0.6108
2020/07/21,1.8318
2020/07/20,-0.0576
2020/07/17,0.1959
2020/07/16,-0.3697
2020/07/15,-0.0505
2020/07/14,-0.0209
2020/07/13,1.142
2020/07/10,-0.9761
2020/07/09,0.1849
2020/07/08,0.6386
2020/07/07,-0.1958
2020/07/06,1.7427
2020/07/03,0.8811
2020/07/02,0.8691
2020/07/01,0.7072
2020/06/30,0.6811
2020/06/29,-1.0124
2020/06/24,0.416
2020/06/23,0.3407
2020/06/22,0.1997
2020/06/19,0.0132
2020/06/18,0.1191
2020/06/17,0.1994
2020/06/16,1.8165
2020/06/15,-1.0821
2020/06/12,-0.9174
2020/06/11,-1.5733
2020/06/10,0.7137
2020/06/09,0.2307
2020/06/08,1.1405
2020/06/05,0.7563
2020/06/04,0.6455
2020/06/03,1.7275
2020/06/02,0.4415
2020/06/01,1.2508
2020/05/29,-0.0185
2020/05/28,-0.6398
2020/05/27,0.1587
2020/05/26,1.1593
2020/05/25,0.5553
2020/05/22,-1.791
2020/05/21,0.9215
2020/05/20,0.4361
2020/05/19,1.1162
2020/05/18,-0.6877
2020/05/15,0.3157
2020/05/14,-1.4389
2020/05/13,0.5405
2020/05/12,-1.2148
2020/05/11,1.0259
2020/05/08,0.5395
2020/05/07,0.6305
2020/05/06,0.0034
2020/05/05,0.5049
2020/05/04,-2.4714
2020/04/30,2.0415
2020/04/29,1.471
2020/04/28,0.4617
